Month,Jobs
2008-01,319
2008-02,320
2008-03,315
2008-04,330
2008-05,320
2008-06,315
2008-07,325
2008-08,330
2008-09,346
2008-10,332
2008-11,334
2008-12,347
2009-01,336
2009-02,320
2009-03,326
2009-04,335
2009-05,349
2009-06,350
2009-07,358
2009-08,360
2009-09,364
2009-10,369
2009-11,370
2009-12,360
2010-01,365
2010-02,360
2010-03,365
2010-04,369
2010-05,373
2010-06,378
2010-07,387
2010-08,393
2010-09,399
2010-10,405
2010-11,394
2010-12,400
2011-01,409
2011-02,416
2011-03,412
2011-04,425
2011-05,435
2011-06,429
2011-07,438
2011-08,443
2011-09,437
2011-10,442
2011-11,445
2011-12,440
2012-01,449
2012-02,457
2012-03,470
2012-04,476
2012-05,470
2012-06,480
2012-07,481
2012-08,478
2012-09,483
2012-10,489
2012-11,497
2012-12,490
2013-01,509
2013-02,527
2013-03,525
2013-04,519
2013-05,532
2013-06,537
2013-07,545
2013-08,553
2013-09,562
2013-10,568
2013-11,565
2013-12,583
2014-01,594
2014-02,616
2014-03,599
2014-04,618
2014-05,629
2014-06,645
2014-07,669
2014-08,658
2014-09,674
2014-10,684
2014-11,704
2014-12,713
2015-01,740
2015-02,765
2015-03,784
2015-04,810
2015-05,831
2015-06,833
2015-07,866
2015-08,870
2015-09,888
2015-10,890
2015-11,897
2015-12,900
2016-01,950
2016-02,989
2016-03,975
2016-04,989
2016-05,1003
2016-06,1020
2016-07,1046
2016-08,1067
2016-09,1099
2016-10,1120
2016-11,1109
2016-12,1150
2017-01,1196
2017-02,1239
2017-03,1256
2017-04,1272
2017-05,1298
2017-06,1319
2017-07,1360
2017-08,1366
2017-09,1385
2017-10,1416
2017-11,1430
2017-12,1467
2018-01,1497
2018-02,1528
2018-03,1540
2018-04,1580
2018-05,1608
2018-06,1630
2018-07,1678
2018-08,1688
2018-09,1698
2018-10,1708
2018-11,1720
2018-12,1735
2019-01,1810
2019-02,1870
2019-03,1865
2019-04,1910
2019-05,1950
2019-06,1946
2019-07,2004
2019-08,2100
2019-09,2090
2019-10,2146
2019-11,2176
2019-12,2194
2020-01,2187
2020-02,2200
2020-03,2240
2020-04,2247
2020-05,2287
2020-06,2300
2020-07,2296
