Month,Jobs
2008-01,560
2008-02,540
2008-03,660
2008-04,645
2008-05,605
2008-06,675
2008-07,740
2008-08,740
2008-09,680
2008-10,590
2008-11,520
2008-12,590
2009-01,575
2009-02,630
2009-03,705
2009-04,670
2009-05,625
2009-06,745
2009-07,850
2009-08,850
2009-09,790
2009-10,665
2009-11,570
2009-12,700
2010-01,725
2010-02,750
2010-03,890
2010-04,815
2010-05,860
2010-06,890
2010-07,1000
2010-08,1000
2010-09,920
2010-10,810
2010-11,730
2010-12,830
2011-01,850
2011-02,900
2011-03,965
2011-04,905
2011-05,915
2011-06,1090
2011-07,1150
2011-08,1210
2011-09,1045
2011-10,950
2011-11,860
2011-12,970
2012-01,980
2012-02,980
2012-03,1180
2012-04,1125
2012-05,1145
2012-06,1215
2012-07,1320
2012-08,1360
2012-09,1185
2012-10,1050
2012-11,900
2012-12,1005
2013-01,1020
2013-02,940
2013-03,1125
2013-04,1135
2013-05,1170
2013-06,1320
2013-07,1510
2013-08,1425
2013-09,1285
2013-10,1145
2013-11,1015
2013-12,1145
2014-01,1210
2014-02,1125
2014-03,1335
2014-04,1345
2014-05,1350
2014-06,1575
2014-07,1820
2014-08,1745
2014-09,1560
2014-10,1370
2014-11,1185
2014-12,1390
2015-01,1420
2015-02,1385
2015-03,1585
2015-04,1560
2015-05,1590
2015-06,1820
2015-07,2065
2015-08,2025
2015-09,1775
2015-10,1530
2015-11,1350
2015-12,1530
2016-01,1575
2016-02,1500
2016-03,1780
2016-04,1740
2016-05,1770
2016-06,2110
2016-07,2325
2016-08,2335
2016-09,2020
2016-10,1735
2016-11,1525
2016-12,1680
2017-01,1700
2017-02,1590
2017-03,1810
2017-04,1740
2017-05,1824
2017-06,2175
2017-07,2450
2017-08,2525
2017-09,2020
2017-10,1790
2017-11,1510
2017-12,1685
2018-01,1800
2018-02,1710
2018-03,2030
2018-04,1980
2018-05,2100
2018-06,2360
2018-07,2740
2018-08,2790
2018-09,2315
2018-10,2035
2018-11,1810
2018-12,2025
2019-01,2085
2019-02,1950
2019-03,2095
2019-04,2305
2019-05,2360
2019-06,2675
2019-07,3100
2019-08,3030
2019-09,2540
2019-10,2305
2019-11,1950
2019-12,2660
2020-01,2305
2020-02,2000
2020-03,1900
2020-04,1760
2020-05,1800
2020-06,1890
2020-07,1980
