Title,Location,Company,Salary,Description
Data Scientist and Analyst,Bengaluru,Quaxigma,1145038.5,quaxigma launched mission make accessible affordable deliver ai product solution scale enterprise bringing power ai engineering transformation believe without insight business continue face challenge better customer even lose secondly without insight business able deliver differentiated product service finally without insight business achieve operational excellence crucial remain competitive meeting rising customer expectation expanding market digitalization seeking creative collaborative adaptable engineer agile skilled scientist engineer ux developer sr engineer hand responsible building maintaining pipeline support advanced analytics science solution bi solution sr engineer identifies deeply understands valuable internal external collaborates scientist wrangle design deployment solution  using azure cloud lake storage factory hadoop 2 x hdinsight spark scala hive hdfs exp spark relevant creating batch realtime pipeline azure platform using logic apps automation run book azure factory azure databricks azure event hub kafka azure stream analytics develop construct test maintain optimal pipeline etl architecture facilitate integration conformity integrity structure designed flexibility support future business need enhancement transformation documented best practice understood business user developer cleansing manipulating analyzing large datasets structured unstructured design dwh model ensuring design follows prescribed reference architecture framework reflecting appropriate business rule built logical physical conceptual model performance tuning complex etl mapping relational non relational workload advanced sql programming sparksql pyspark pl sql sql curate model warehouse used front advanced analytics designer map system object define design required integration etl bi ai system process required master bachelor degree computer science mathematics engineering management information system related field 5 year working enterprise platform building managing lake using technology 3 5 year designing implementing warehouse solution hand date advanced recognized around analytics coding variety language e g python sql scala etc fully conversant big processing approach schema read methodology knowledge azure factory databricks azure lake azure sql dw analysis service deep understanding quality tooling metadata management semantic store azure sqldw snowflake cosmos db strong agile devops methodology concept must worked ci cd way working using tool like azure devops executing analytics project agile manner articulation value depending project life cycle stage creating mvp communicate inherently complicated technical concept non technical stakeholder full time pay 00 1 00 per year engineering 5 year required education bachelor required industry information design documentation remotely temporarily 
Data Scientist and Analyst,Hyderabad,Klaxon India,1000000,5 7 year hyderabad jd engineer strong python proficient ingestion processing exploration technique intellectual curiosity find unusual way solve processing issue proof technical apache spark aws glue lambda athena s3 emr file format avro parquet csv json etc proficient big tool framework etl warehouse lake proficient linux strong analytic related working unstructured datasets apache open source processing tool technology analytics tool design pattern ci cd implementation conceptualizing generating infrastructure allows big processed accessed analyzed efficiently effectively deliver business value making analyst scientist productive develop construct test maintain optimal secure cloud house pipeline reformulating existing framework optimize functioning identify way reliability efficiency quality assemble large complex set meet functional non functional business requirement automating manual process optimizing delivery designing solution greater scalability etc build infrastructure required optimal extraction transformation loading wide variety source aws technology aws glue lambda s3 athena emr etc deal variety file format avro parquet csv json etc build lake provide actionable insight customer acquisition operational efficiency key business performance metric stakeholder including executive product design team assist related technical issue support infrastructure need analytics expert strive greater functionality sy 8 lac 12 lac p industry software ecommerce internet technology 5 7 year qualification bachelor degree key python engineering profile person syed shahbaz ali address 1 2 brigade road opp brigade tower mobile email id info klaxonindia
Data Scientist and Analyst,Ahmedabad,Lendingtree Research Services LLP,1000000,qualification bachelor degree equivalent practical 3 6 year relevant including considerable database mysql m sql etl system cloud integration web apis modeling visualization manipulating curating system query performance optimization hand performance tuning tabular design modeling big tool hadoop hive etc preferred qualification programming e g python r javascript etc familiarity version control creating visualization dashboard surface business insight tool like talend equivalent bi tool added warehouse e g storage method format modeling architecture design demonstrated convey complex concept solution technical non technical audience respond dynamically question comment leadership business intelligence analyst primarily responsible integration different source used analytics provide visibility key metric performance opportunity scale matter business partner partner analytics dev team shape develop analytics architecture craft scalable solution automate delivery creativity build prototype solution provide training guidance member partner enjoy diving ask answer big question motivated resourceful knowledge business intelligence bi tool approach critically think business problem communicate stakeholder  scientist engineering partner help shape infrastructure seo product solution including preparation cleansing integration system automation design business intelligence bi tool monitor solution run across variety client manager optimize solution appropriate analysis tool interpret solution full time 000 00 1 000 00 per year 1 year required total 1 year required remotely temporarily 
Web Developer,Gurgaon,nutan enterprises,450000,assionate design exceptional user experience web mobile application hand using cutting edge web technology system generally interact backend web socket server strong competency jquery angularjs bootstrap html5 css3 especially applies responsive design extensive prototyping tool keeping date latest upcoming trend css3 html5 4 lac 5 lac p industry software others 3 5 year qualification b tech b e key jquery angularjs bootstrap html5 css3 web developer web designer profile name nutan enterprise nutan enterprise based alwar rajasthan one largest provider placement service manpower service staffing service hr consultancy service payroll management service labour law consultancy service india email id nutanjobs gmail
App Developer,Ahmedabad,Adeline Infotech,620000,must expected start date 1 7 type full time commission walk 000 00 1 000 000 00 year 1 year preferred total 1 year preferred developer 1 year preferred education bachelor preferred remotely
App Developer,Ahmedabad,Yobored,550000,2 year  translate design wireframes high quality code design build maintain high performance reusable reliable java code best possible performance quality responsiveness application identify correct bottleneck fix bug help maintain code quality organization automatization strong knowledge android sdk different version android deal different screen size familiarity restful apis connect android application back service strong knowledge android ui design principle pattern best practice offline storage threading performance tuning design application around natural user interface touch familiarity use additional sensor gyroscope accelerometer knowledge open source android ecosystem library available common task business requirement translate technical requirement familiarity cloud message apis push notification knack benchmarking optimization understanding google android design principle interface guideline proficient understanding code versioning tool git familiarity integration full time pay 000 00 000 00 per year android 2 year preferred 2 year preferred total 2 year preferred java 2 year preferred education secondary 10th pas preferred
App Developer,Bengaluru,Shaw Academy,1500000,role  cross platform mobile app developer developed mobile apps familiarity ionic flutter develop manage mobile application hybrid android io platform mobile app architecture planning mobile app design optimization able provide solution mobile app quality emerging technology best practice bring mobile app product continuously discover evaluate implement technology framework maximize efficiency estimate timeline deliver per schedule solid knowledge mobile app practice along mobile testing tool technique optimizing app performance using agile principle methodology deep understanding mobile landscape behavior pattern mandatory required using web service http rest soap using json knowledge object oriented design pattern multi threading concept knowledge sqlite database google play service like push notification strong mobile ui design multi screen resolution coding support maintenance knowledge html5 javascript third party api like facebook twitter etc added third party library apis native io android mobile app plus 3 year hand write manageable code maintain proper documentation command structure algorithm familiarity integration strong problem solving analytical knowledge benchmarking optimization security mindedness practice collaborate cross functional team define design deliver feature independently small team responsible capable meeting tight deadline full time 0 00 1 000 00 year hybrid mobile tech 1 year preferred andriod io 1 year preferred
App Developer,Bengaluru,Xeam ventures India,1050000,android app developer 2 4 year position 6 programming java   hand java android mobile vehicle android application demonstrable analytical problem solving debugging strong interpersonal working full time 000 00 1 000 00 year total 4work 2 year preferred android 1 year preferred 1 year preferred education secondary 10th pas preferred programming language needed java preferred
App Developer,Bengaluru,Brickview Studios,500000,  io developer responsible maintenance application aimed range io device including mobile phone tablet computer primary focus io application integration back service therefore commitment collaborative problem solving sophisticated design creation quality product essential  design build application io platform performance quality responsiveness application collaborate define design ship feature identify correct bottleneck fix bug help maintain code quality organization automatization proficient objective c swift io framework core core animation etc offline storage threading performance tuning familiarity restful apis connect io application back service knowledge web technology ui ux understanding apple design principle interface guideline knowledge low c based library preferred performance memory tuning tool familiarity cloud message apis push notification knack benchmarking optimization proficient understanding code versioning tool git mercurial svn familiarity integration type full time internship 000 00 000 00 year 1 year preferred total 1 year preferred io 1 year preferred education bachelor preferred programming language needed objective c preferred remotely yes
App Developer,Bengaluru,K3 India Foundation,290000,  android developer responsible maintenance application aimed vast number diverse android device primary focus android application integration back service working along side engineer developer working different layer infrastructure therefore commitment collaborative problem solving sophisticated design creating quality product essential  translate design wireframes high quality code design build maintain high performance reusable reliable java code best possible performance quality responsiveness application identify correct bottleneck fix bug help maintain code quality organization automatization relevant  strong knowledge android sdk different version android deal different screen size familiarity restful apis connect android application back service strong knowledge android ui design principle pattern best practice offline storage threading performance tuning design application around natural user interface touch familiarity use additional sensor gyroscope accelerometer knowledge open source android ecosystem library available common task business requirement translate technical requirement familiarity cloud message apis push notification knack benchmarking optimization understanding google android design principle interface guideline proficient understanding code versioning tool git familiarity integration type full time fresher walk 000 00 000 00 year android 1 year preferred 1 year preferred total 1 year preferred education bachelor required programming language needed java preferred remotely temporarily 
